Id,Address1,Address2,Area,Country,City,State,Region,Pincode
14504,Ground Flrdist Paschim Midnapur,Po+Ps Midnapur,H.No 367/296Ward No 9,,Midnapur,,,721101
14434,,Tandwa Road Simaria,Chatrajharkhand,,Chatra,,,825103
14490,,,,,Varanasi,,,
23331,,,,,Dhanbad,Jharkhand,,
14505,,,,,Midnapur,,,
23332,,,,,Erode,Tamil Nadu,,
20173,"MARETHIA BAS, RAMGANJ                   ",                                        ,,,ALWAR                    ,,,302001
22136,"KHATTA NO.1126/1784,KHASRA NO.2303/2    ","NEW GREEN AVENUE STREET,NEAR STAR CINEA ",,,SANGRUR (2)              ,,,148023
20994,"1, J.K.MARKET                           ",TILAK ROAD                              ,,,DEORIA                   ,,,274001
6013,"3, 1st Floor, Eagle Heights, Maruti Galli",Belgaum,,India,Belgaum,Karnataka,Belgaum,590001
19944,"BARNALA,PAKKA COLLEGE ROAD              ",NEAR HDFC BANK                          ,,,BARNALA                  ,,,       
14435,,# 31-35-30/A Vivekanand Colony,Visakhapatnam -,,Visakhapatnam,,,530004
21182,"C-76, BASEMENT KH NO. 2233/118          ",PANCHSHEEL VIHAR (KHIRKI)               ,,,NEW DELHI                ,,,110017
21747,"2ND FLOOR,FLAT NO.2E,VIRANDA APARTMENT  ","HARIHAR SINGH ROAD,PO.MORABADI          ",,,RANCHI                   ,,,834001
14436,,106 Opp Hotel Rachna,Shalamar Road,,Jammu,,,180001
6014,"Shop No. 7 - 9, Plot No. E - 125, Rahul Apartment CHSL, Sector 12","Kharghar, Navi Mumbai",,India,Navi Mumbai,Maharashtra,Raigad,410210
2914,"Shop No.6 To 9 & First Floor, Office No.7, Behind Sbi Bank,Sector-12","Kharghar, Navi Mumbai",,India,Navi Mumbai,Maharashtra,NA,410210
20924,"197, KATRA SAHAB KHAN, ETAWAH           ",                                        ,,,ETAWAH                   ,,,206001
14507,,Satha Road,,,Bulandshahar,,,203001
14508,,,,,Bulandshahar,,,
14509,,,,,Bulandshahar,,,
2915,"Gala No.2, Basement,","69, Bhawani Peth, Tuljapur Ves,",,India,Solapur,Maharashtra,NA,413002
19266,"9-9-25/2,REDDY COLONY                   ",CHAMPAPET                               ,,,HYDERABAD                ,,,500059
14437,,55 Brb Basu Road 3Rd Flr B - Block,R/N - 62 Mehta Building Kolkata -,,Kolkata,,,700001
14510,Phone No. 0542 2403469,K61/112 Sapt Sagar,Varanasi,,Varanasi,,,221001
2916,"Upper Bazar, Dawrpui L.C,",Aizawl,,India,Aizawl,Mizoram,NA,796001
14511,Tirupati-517 501.,Shop No-69 1St Floor,Beri Street,,Tirupathi,,,517501
14438,Tal : Kushtagi,No.07/462 Ward No.: 07,Gajendragada Road Kushtagi -,,Kushtagi,,,583277
14512,Ward No. 1 . Joshi Galli Ilkal,Pharmaceuticals Distributors,,,Ilkal,,,587125
14439,Guwahati Karbi Anglong Assam,Dharamnala Diphu,Diphu,,Diphu,,,782460
2917,"70, Biplabi Rash Behari Basu Road,","Shop No. 1 / A,",,India,Kolkata,West Bengal,NA,700001
14513,Harnichak Anishabad,Kalyani Co-Iperative Colony,Near Satya Gas Godown,,Patna,,,800002
14514,Bathinda,8 Scf Mall Gandhi,Market,,Bathinda,,,151001
14515,,,,,Bhatinda,,,
2918,"73/2, Khair Nagar,","Main Road,",,India,Meerut,Uttar Pradesh,NA,250002
2919,"Kapoor Bhawan, Dooni House, Flim Colony",Jaipur,,India,Jaipur,Rajasthan,NA,302003
6015,"Shop No. 53, 153, 253, Sandesh Dawa Bazar","Ganjipeth, Nagpur",,India,Nagpur,Maharashtra,Nagpur,440018
6016,"206, Siva Subramaniam Road, Near Poo Market Bus Stop",Coimbatore,,India,Coimbatore,Tamil Nadu,Coimbatore,641002
2920,"19A, Ellaiamman Kezzta","Veethi, Tiruvarur",,India,Tiruvarur,Tamil Nadu,NA,610001
18499,"NO.1962, 2ND  FLOOR                     ","IST MAIN ROAD, 6TH A CROSS              ",,,BANGALORE                ,,,560060
7485,,,,India,,Uttar Pradesh,,
6018,"L L 8 Sahajanand Trade Centre, Opposite Kothwala Flats","Ellisbridge, Ahmedabad",,India,Ahmedabad,Gujarat,Ahmedabad,380006
6019,"Ashirbad Complex, W.Road, Shibtala Dasnagar",Howrah,,India,Howrah,West Bengal,Howrah,711105
6020,"Ashirbad Complex, W.Road, Shibtala Dasnagar",Howrah,,India,Howrah,West Bengal,Howrah,711105
14441,,,,,Pathsala,,,
18815,"ANCHALI ROAD, P.O. : PATHSALA           ",                                        ,,,BARPETA                  ,,,781325
6021,"49/5, Karl Marx Sarani, Khidderpore","Alipore, Kolkata",,India,Kolkata,West Bengal,Kolkata,700023
23324,,,,,Allahabad,Uttar Pradesh,,
2922,"15-5-5/2, Haritha Classic Prof Of Surgery & Principal",Andhra Medical College Z.P.Junction,,India,Visakhapatnam,Andhra Pradesh,NA,530002
2923,"Station Road, Mohania,",Rohtas,,India,Rohtas,Bihar,NA,821109
14442,,Thana Chowk Chitranjan Road,Purani Bazar Lakhisarai,,Lakhisarai,,,811307
14518,Bhagalpur,M.P.D. Road,,,,,,111111
6022,"Unit 202, Kanyakumari CHSL, M G Road, Near Uco Bank, Kandivali West","Kandivali, Mumbai",,India,Mumbai,Maharashtra,Mumbai,400067
20572,"876,L.M.GHOSH STREET                    ",                                        ,,,PURULIA                  ,,,723101
20925,"69/107-A, SHOP NO.4, KAMAL MARKET       ",BIRAHANA ROAD                           ,,,KANPUR                   ,,,       
14520,,,,,Silchar,,,
22226,Opp. SriNagar Municipal Corporation     ,Bal Garden Karan Nagar Near Ziyafat Rest,,,SRINAGAR                 ,,,       
14443,Hanumangargh,New Medicine Market,,,Hanumangarh,,,335513
14521,,Shyama Prasad Road Shillong Patty.,,,Silchar,,,788001
14522,Silchar,Shyama Prasad Road,Shillong Patty,,Silchar,,,788001
21580,MOFFARGANJ                              ,                                        ,,,KATIHAR                  ,,,       
14523,,,,,Nellore,,,
14524,Nellore-524 001.,14/139-2 Koramvari Street,,,Nellore,,,524001
6023,"43, Kameshwar Society, Opposite Swaminarayan Temple, Hirawadi Road, Mahavir Nagar","Saijpur, Ahmedabad",,India,Ahmedabad,Gujarat,Ahmedabad,382345
6024,"59/58 -A, Birhana Road, Naughara","General Ganj, Kanpur",,India,Kanpur,Uttar Pradesh,Kanpur,208001
14525,,,,,Ajmer,,,
2892,139/1/1 Netaji Subhas Road,Asansol,,India,Asansol,West Bengal,NA,713301
6025,"Gala No. A/6, Adishankaracharya Marg, Near Powai Police Station, Rambaug","Powai, Mumbai",,India,Mumbai,Maharashtra,Mumbai,400076
14526,,,,,Asansol,,,
2924,"78 (N), N.S.Road",(Mukherjee Mansion) Shop No. B,,India,Asansol,West Bengal,NA,713301
20995,MASEERPUR                               ,LALGANJ                                 ,,,AZAMGARH                 ,,,0
6026,"250/1, Gopal Lal Tagore Road, Nainan Para, Baranagar",Kolkata,,India,Kolkata,West Bengal,Kolkata,700036
14444,,Rajeshwari Tower 69/2 Ii Nd Flr,Ramakrishna Road Salem -,,Salem,,,636007
6027,"AP 161 14th East Cross Street, MKB Nagar",Chennai,,India,Chennai,Tamil Nadu,Chennai,600039
6028,"S-94, Vardhman Mall, Nehru Vihar",Delhi,,India,Delhi,Delhi,Delhi-NCR,110054
6029,"Shop No. 4, 1st Floor, Near Vijay Ice Cream, Opposite City Mall",Kalol,,India,Gandhinagar,Gujarat,Gandhinagar,382721
2894,"Sethi Market, Aliganj Road,","Gola Gokaran Nath, Kheri",,India,Kheri,Uttar Pradesh,NA,262802
2893,"K - 62 / 2, L. G. - 1 & 3,","Swastik Market, Saptsagar,",,India,Varanasi,Uttar Pradesh,NA,221001
23333,,,,,Nadiad,Gujarat,,
18126,"83-A, 10TH CROSS, MEYER NAGAR,          ","NEAR ANNA PARK,                         ",,,SALEM                    ,,,636007
14445,Somajiguda Hyderabad,301 Srimalle Tower,,,Hyderabad,,,111111
6877,"No. 90/2, North Perumal Maistry Street, Madurai Main",Madurai,,India,Madurai,Tamil Nadu,Madurai,625001
6030,"Opposite Dr. P.R. Patil Hospital, S T Stand Road","Patrakar Nagar, Sangli",,India,Sangli,Maharashtra,Sangli,416416
14527,,,,,Akola,,,
14528,Station Road,Shree Padia Commercial Complex,Near Tower,,Akola,,,444001
14529,,,,,Kolhapur,,,
21339,"2465 B, SHANTI SADAN                    ","MANGALWAR PETH, NEAR POST OFFICE        ",,,KOLHAPUR                 ,,,416012
2895,"27, Joy Krishna Paul Road, Kolkata",Kolkata,,India,Kolkata,West Bengal,NA,700023
7014,"Unit No. 6, 1st Floor, Vardhman Compound, Hi-Tech Embroidery Industrial Estate, Swami Vivekananda Marg, Dahisar East","Dahisar, Mumbai",,India,Mumbai,Maharashtra,Mumbai,400068
19945,CHACHOKI                                ,                                        ,,,PHAGWARA                 ,,,144632
14530,Room No 14 & 15,47Raja Rammohan Sarani,1St Floor,,Kolkata,,,700009
20926,GREAT INDIAN HOTEL BUILDING             ,"59,GAUTAM BUDH MARG,AMINABAD            ",,,LUCKNOW                  ,,,226018
6031,"No. 28, 1st Floor, Thirumalaiyappan Street","Purasaivakkam, Chennai",,India,Chennai,Tamil Nadu,Chennai,600007
2896,"D. No. 10 - 15/1, Main Road,",Madhira,,India,Khammam,Telangana,NA,507203
14536,,,,,Vellore,,,
14531,(1St Floor) Vellore - 632 004.Tami,163-D Chunnambukara Street,,,Vellore,,,632004
23336,,,,,Kolkata,West Bengal,,
23327,,,,,Navi Mumbai,Maharashtra,,
14537,,5 Parsi Shah Building,Aminabad,,Lucknow,,,226018
14538,,,,,Bulandshahar,,,
14539,,,,,Moradabad,,,
2926,"Husaini Market,","Biharsharif, Nalanda",,India,Nalanda,Bihar,NA,803101
14532,Tripura,5 Old M L A House Road,Agartala,,Agartala,,,799001
6032,"Shop No. B-8 & B-12, Basement, RC Palace, Govind Mitra Road","Bankipur, Patna",,India,Patna,Bihar,Patna,800004
2897,"1st Floor, Meena Complex, Shardhanand Road","Kotwali, Ranchi",,India,Ranchi,Jharkhand,NA,834001
2927,"5, M.L.A. Hospital Rood",Melarmath,,India,Agartala,Tripura,NA,799001
23334,,,,,Moradabad,Uttar Pradesh,,
14533,Floor) Vellore - 632 004. Tamilnadu,No.163 Chunnambukara Street,(First,,,,,111111
14540,,,,,Vellore,,,
18209,"NO.60, 1ST FLOOR,                       ","CHUNNAMBUKARA STREET,                   ",,,VELLORE                  ,,,632004
23337,,,,,Edapal,Kerala,,
14541,,Mandla,,,Mandla,,,481661
19946,"RAKHRI ROAD, OUTSIDE ZIRA GATE          ",NEAR SHIVALA MANDIR                     ,,,FEROZEPURCITY            ,,,       
2928,"Gajapati Dist., Palace Street,","Paralakhemundi,",,India,Berhampur,Odisha,NA,761200
2929,"Saligramam, 80 Feet Road,","West V.R.Puram,",,India,Chennai,Tamil Nadu,NA,600093
14446,,4 Sarafa Bazar Mandla -,,,Mandla,,,111111
6919,"59/117, Naval Kisore Market, Birhana Road","General Ganj, Kanpur",,India,Kanpur,Uttar Pradesh,Kanpur,208001
20927,"59/117,NAVAL KISHOR MARKET              ",BIRHANA ROAD                            ,,,KANPUR                   ,,,208001
2930,"P.O.-G.P.O., P.S.-Kotwali, Sri Mahadeo Complex,","Near Arya Samaj Mandir,S.N. Road,",,India,Ranchi,Jharkhand,NA,834001
14534,,,,,Nizamabad,,,
2898,"Unit No. 17, Prem Industrial Estate, Subhash Raod","Jogeshwari (East), Mumbai",,India,Mumbai,Maharashtra,NA,400060
2925,"1st Floor, Pharmaceutical Distributors","Old No.9, New No.22, G.C.M. Street,",,India,Vellore,Tamil Nadu,NA,632004
14535,Chowk Shardhanand Road,Ashoka Market B.,Talab,,,,,834001
19077,G 15 CENTRAL PLAZA KHAIR NAGAR          ,                                        ,,,MEERUT                   ,,,       
22132,SHOP NO. 3                              ,SHYAMA MEDICAL  COMPLEX                 ,,,MATHURA                  ,,,281001
18127,"14-1-126(7,8,9,10,11,12)                ","SANKARANKOIL ROAD,                      ",,,SURANDAI                 ,,,627859
20928,"D65/426,S-8                             ",LAHARTARA                               ,,,VARANASI                 ,,,       
23335,,,,,Kanyakumari,Tamil Nadu,,
14447,,Nadiasahaspur Balichandrapur,Cuttack -,,Kendrapara,,,754211
18661,"971/1480,GROUND FLOOR                   ",ASHOK NAGAR                             ,,,BHUBANESWAR              ,,,       
14544,,,,,Cuttack,,,
6033,"Plot No. 22A, Khasra No. 481, Shop No. 105, 2nd Floor, Rama Market","Pitampura, New Delhi",,India,Delhi,Delhi,Delhi-NCR,110034
19079,"F-01/03 IST FLOOR, 37 ROOPAL PALACE     ",NAVYUG MARKET                           ,,,GHAZIABAD                ,,,201001
20174,107-1ST FLOOR BAPU BAZAR                ,                                        ,,,UDAIPUR                  ,,,       
18795,MAIN ROAD                               ,                                        ,,,MANGALDOI                ,,,       
23328,,,,,Delhi,Delhi,,
6043,"Ground Floor, K-14/i, Block - K, Krishna Nagar",East Delhi,,India,Delhi,Delhi,Delhi-NCR,110051
14545,,100B/1,Kalicharan Ghosh Road,,Kolkata,,,700050
14546,Sector-1Salt Lake City,Shop No 24,Ab-Ac Market,,Kolkata,,,700064
14547,P.O. - Mangalabag Cuttack,Misra Quarters,Medical Road,,Cuttack,,,753001
6034,RC-44/5 Raghunathpur,Kolkata,,India,Kolkata,West Bengal,Kolkata,700059
19080,NAINITAL ROAD                           ,                                        ,,,BAREILLY                 ,,,       
21184,"A-16, KHASRA NO. 2/26, RADHEY PURI      ",                                        ,,,NEW DELHI                ,,,110051
14548,Air Force Road Jawahar Colony,Dabua Sabji Mandi Chowk,,,Faridabad,Haryana,,121005
14549,,,,,Faridabad,,,
14550,- 626 001 04562 - 281752,83/4 Ramamoorthy Road (Balagurugulam),Virudhunagar,,Virudhunagar,,,626001
23338,,,,,Virudhunagar,Tamil Nadu,,
2932,"83/3, Ramamoorthy Road",(Balagurugulam),,India,Virudhunagar,Tamil Nadu,NA,626001
2931,"83/5, Ramamoorthy Road","Balagurukulam, Virudhunagar",,India,Virudhunagar,Tamil Nadu,NA,626001
14448,Nellore,4/1245/A Ramachandrapuram,Nawabpet Nellore -,,,,,524002
14449,,B-32/14-B-1 Saket Nagar,Sankat Mochan Varanasi -,,Varanasi,,,221010
14542,,,,,Jagitial,,,
14551,,,,,Jagtial,,,
14450,,294/118/C2 Samba Street,Tenkasi-,,,,,627811
14552,,,,,Hyderabad,,,
14451,West Bengal,26 R.M. Lane,Howrah,,Howrah,,,111111
14553,Azamgarh,Shop No.A-1 Bhagwati Bhawan,Raidopur,,Azamgarh,,,276001
14543,Punjagutta Hyderabad-500082,D No. 6-3-668/17,Classic Enclave,,Hyderabad,,,500082
14452,,I - 5/A Dhruvatara Apartments,Medinova Complex Somajiguda Hyderabad-,,Hyderabad,,,500082
14554,,,,,Moradabad,,,
6036,"59/77 Sujal Market Birhanaroad, -","General Ganj, Kanpur",,India,Kanpur,Uttar Pradesh,Kanpur,208001
6035,"908, E-1 Ward, 5th Lane Shahupuri",Kolhapur,,India,Kolhapur,Maharashtra,Kolhapur,416001
14555,,,,,Muzaffarnagar,,,
23325,,,,,Nagpur,Maharashtra,,
19583,SHOP NO.27 ÿ GROUND FLOOR               ,CO-OPERATIVE MARKET ÿ HOSPITAL ROAD     ,,,MORENA                   ,,,       
18819,"RANGAGORE ROAD, DURGA BARI              ",                                        ,,,TINSUKIA                 ,,,786125
6037,"Baba Loknath Complex, Sunity Road",Cooch Behar,,India,Cooch Behar,West Bengal,Cooch Behar,736101
14556,,Vasu Dev Plaza,Munshi Ganj Barabanki -,,Barabanki,,,225001
14557,,Mohalla Paharian,Opp. Govt. Girls High School,,Jammu,,,180001
